518,392,525,363,520,330,514,307,513,285,480,344,455,334,467,338,483,342,474,366,449,357,461,359,476,364,473,387,453,379,462,381,473,384,476,406,460,402,468,402,0,0,0
637,392,640,356,627,314,615,284,618,260,596,338,550,339,563,343,583,343,593,364,549,364,565,367,584,367,592,390,556,384,568,388,585,389,593,411,562,403,572,405,0,0,0
409,398,412,362,400,336,380,316,364,295,355,361,345,354,356,350,364,351,352,384,340,375,350,369,357,368,354,406,346,398,353,392,360,391,361,425,353,420,359,414,0,0,0
357,442,358,388,339,353,310,327,293,299,278,390,248,375,270,373,289,377,275,420,246,400,263,395,277,397,279,446,258,427,268,420,281,420,288,466,273,452,281,443,0,0,0
617,374,619,340,607,302,601,272,601,246,617,343,569,347,558,351,553,348,613,371,554,382,545,392,543,393,606,391,550,398,541,403,540,402,594,405,548,408,541,409,0,0,0
610,360,612,326,601,294,592,269,590,243,612,353,554,373,547,376,552,373,620,383,565,408,552,412,552,410,622,403,572,423,555,429,551,426,619,415,579,437,562,440,0,0,0
344,320,342,270,315,218,290,180,282,143,267,261,217,276,232,276,253,268,271,297,225,313,240,308,259,300,280,328,242,339,251,334,267,326,287,354,259,362,264,362,0,0,0
601,298,609,266,598,239,584,217,579,194,545,256,553,257,566,260,573,262,536,279,548,281,558,282,563,284,537,302,546,303,554,303,560,303,543,322,547,324,557,322,0,0,0
516,370,515,338,499,319,487,319,481,329,459,331,434,324,443,326,456,332,452,354,430,348,440,348,454,352,451,376,432,370,441,370,453,372,455,396,436,390,443,389,0,0,0
602,410,587,375,559,363,533,368,513,379,532,374,489,358,505,358,523,366,528,403,487,387,503,383,518,388,530,430,491,416,507,410,522,413,536,455,505,442,517,435,0,0,0
574,231,575,263,573,294,570,320,566,345,571,289,549,291,538,291,530,291,566,264,540,272,531,271,529,268,559,240,536,248,532,251,533,254,553,217,538,218,538,220,0,0,1
552,222,566,260,569,301,568,330,565,353,524,298,552,292,560,278,554,275,517,276,557,270,562,260,552,259,516,252,554,250,560,243,550,242,519,231,548,229,552,228,0,0,1
